"branch_id","branch_name","branch_desc"
"999998",ประปา,ประปา
"999998",ใบคอม,ใบคอม
"999998",ส่งคืน,ส่งคืน
"999999",นิติกรรม,นิติกรรม
"3200",สาขาลาดกระบัง,สาขาลาดกระบัง
"13400",OSS: ฝาง,OSS: ฝาง
"30000",สาขาสุเทพ,สาขาสุเทพ
"1400",สาขาสยามสแควร์,สาขาสยามสแควร์
"1500",สาขาคอนแวนต์,สาขาคอนแวนต์
"1600",สาขานครปฐม,สาขานครปฐม
"1700",สาขาบางใหญ่,สาขาบางใหญ่
"1800",สาขาห้าแยกปากเกร็ด,สาขาห้าแยกปากเกร็ด
"1900",สาขาสุขุมวิท,สาขาสุขุมวิท
"1901",BC : บิ๊กซีอ่อนนุช,BC : บิ๊กซีอ่อนนุช
"2000",สาขาเพชรบุรีตัดใหม่,สาขาเพชรบุรีตัดใหม่
"2100",สาขาพาราไดซ์ พาร์ค,สาขาพาราไดซ์ พาร์ค
"2101",BC : บิ๊กซี บางนา,BC : บิ๊กซี บางนา
"2200",สาขาบางเขน,สาขาบางเขน
"2201",BC : THE MALL NGAMWONGWAN,BC : THE MALL NGAMWONGWAN
"2300",สาขาภูเก็ต,สาขาภูเก็ต
"2400",สาขาสุขาภิบาล 3,สาขาสุขาภิบาล 3
"2500",สาขาแจ้งวัฒนะ,สาขาแจ้งวัฒนะ
"2501",BC : บิ๊กซี แจ้งวัฒนะ,BC : บิ๊กซี แจ้งวัฒนะ
"2600",สาขาพระราม 2,สาขาพระราม 2
"2601",BC : THE MALL ท่าพระ,BC : THE MALL ท่าพระ
"2700",สาขาสมุทรสาคร,สาขาสมุทรสาคร
"2800",สาขารังสิต,สาขารังสิต
"2900",สาขาปทุมธานี,สาขาปทุมธานี
"3000",สาขาพุทธมณฑล,สาขาพุทธมณฑล
"3100",สาขาลำลูกกา (คลอง 2),สาขาลำลูกกา (คลอง 2)
"3201",เคาน์เตอร์การเงินบิ๊กซี เคหะร่มเกล้า,เคาน์เตอร์การเงินบิ๊กซี เคหะร่มเกล้า
"3300",สาขาเทพารักษ์,สาขาเทพารักษ์
"3400",สาขาสี่แยกบ้านแขก,สาขาสี่แยกบ้านแขก
"3500",สาขาบุญศิริ,สาขาบุญศิริ
"3600",สาขาเซ็นต์หลุยส์ 3,สาขาเซ็นต์หลุยส์ 3
"3700",สาขาไมตรีจิต,สาขาไมตรีจิต
"3800",สาขาสุขสวัสดิ์,สาขาสุขสวัสดิ์
"3801",BC : บิ๊กซีบางปะกอก,BC : บิ๊กซีบางปะกอก
"3900",สาขาลาดพร้าว,สาขาลาดพร้าว
"3901",BC : THE MALL BANGKAPI,BC : THE MALL BANGKAPI
"4000",สาขากิ่งแก้ว,สาขากิ่งแก้ว
"4100",พหลโยธิน,พหลโยธิน
"4200",สาขาบางบัวทอง,สาขาบางบัวทอง
"4300",สาขาบิ๊กซีนวนคร,สาขาบิ๊กซีนวนคร
"4400",สาขาเมกาบางนา,สาขาเมกาบางนา
"4500",สาขาศรีราชา,สาขาศรีราชา
"4600",สาขาตาก,สาขาตาก
"4700",สาขายโสธร,สาขายโสธร
"4800",สาขาอ่างทอง,สาขาอ่างทอง
"5000",สาขาเชียงราย,สาขาเชียงราย
"5100",สาขาลำปาง,สาขาลำปาง
"5200",สาขากาฬสินธุ์,สาขากาฬสินธุ์
"5300",สาขามหาสารคาม,สาขามหาสารคาม
"5500",สาขาชลบุรี,สาขาชลบุรี
"5600",สาขาระยอง,สาขาระยอง
"5601",OSS : ปลวกแดง,OSS : ปลวกแดง
"5700",สาขานครสวรรค์,สาขานครสวรรค์
"5800",สาขาย่อยสุโขทัย,สาขาย่อยสุโขทัย
"5900",สาขาย่อยพิจิตร,สาขาย่อยพิจิตร
"6000",สาขาย่อยอุตรดิตถ์,สาขาย่อยอุตรดิตถ์
"6100",สาขาอุดรธานี,สาขาอุดรธานี
"6101",OSS : เลย,OSS : เลย
"6200",สาขาแพร่,สาขาแพร่
"6300",สาขาพัทลุง,สาขาพัทลุง
"6400",สาขาตรัง,สาขาตรัง
"6500",สาขายะลา,สาขายะลา
"6600",สาขาบุรีรัมย์,สาขาบุรีรัมย์
"6700",สาขาชัยภูมิ,สาขาชัยภูมิ
"6800",สาขาปราจีนบุรี,สาขาปราจีนบุรี
"6801",OSS : กบินทร์บุรี,OSS : กบินทร์บุรี
"6900",สาขากำแพงเพชร,สาขากำแพงเพชร
"6901",OSS : แม่สอด,OSS : แม่สอด
"7000",สาขาพะเยา,สาขาพะเยา
"7100",สาขาสุรินทร์,สาขาสุรินทร์
"7200",สาขาปัตตานี,สาขาปัตตานี
"7300",สาขาสกลนคร,สาขาสกลนคร
"8100",สาขาอุบลราชธานี,สาขาอุบลราชธานี
"8101",OSS:วารินชำราบ,OSS:วารินชำราบ
"0",ธนาคารอาคารสงเคราะห์,ธนาคารอาคารสงเคราะห์
"100",ศูนย์พระราม 9,ศูนย์พระราม 9
"200",สาขาราชดำเนิน,สาขาราชดำเนิน
"300",สาขาเชียงใหม่,สาขาเชียงใหม่
"301",OSS : หางดง,OSS : หางดง
"302",BC : CENTRAL AIRPORT,BC : CENTRAL AIRPORT
"400",สาขาขอนแก่น,สาขาขอนแก่น
"401",OSS: พล,OSS: พล
"500",สาขาดอนเมือง,สาขาดอนเมือง
"501",BC : IT SQUARE หลักสี่พลาซา,BC : IT SQUARE หลักสี่พลาซา
"600",สาขาพัทยา,สาขาพัทยา
"601",OSS : สัตหีบ,OSS : สัตหีบ
"602",OSS : บางละมุง,OSS : บางละมุง
"800",สาขาพระราม 6,สาขาพระราม 6
"1300",สาขานครราชสีมา,สาขานครราชสีมา
"1301",OSS : ปากช่อง,OSS : ปากช่อง
"7301",OSS : มุกดาหาร,OSS : มุกดาหาร
"700",สาขาสุขาภิบาล 1,สาขาสุขาภิบาล 1
"801",BC : JJ MALL,BC : JJ MALL
"900",สาขาหนองแขม,สาขาหนองแขม
"1000",สาขาสำโรง,สาขาสำโรง
"1001",BC : อิมพิเรียลสำโรง,BC : อิมพิเรียลสำโรง
"1100",สาขาพิษณุโลก,สาขาพิษณุโลก
"1200",สาขาหาดใหญ่,สาขาหาดใหญ่
"7400",สาขาฉะเชิงเทรา,สาขาฉะเชิงเทรา
"7500",สาขานครศรีธรรมราช,สาขานครศรีธรรมราช
"7600",สาขาสุพรรณบุรี,สาขาสุพรรณบุรี
"7700",สาขาราชบุรี,สาขาราชบุรี
"7800",สาขาจันทบุรี,สาขาจันทบุรี
"7900",สาขาเพชรบุรี,สาขาเพชรบุรี
"8000",สาขาเพชรบูรณ์,สาขาเพชรบูรณ์
"8200",สาขากาญจนบุรี,สาขากาญจนบุรี
"8300",สาขาพระนครศรีอยุธยา,สาขาพระนครศรีอยุธยา
"8400",สาขาสระบุรี,สาขาสระบุรี
"8500",สาขาน่าน,สาขาน่าน
"8600",สาขาเลย,สาขาเลย
"8700",สาขาสุราษฎร์ธานี,สาขาสุราษฎร์ธานี
